time,"(29.44602, 81.65857)","(28.50414, 83.45484)","(27.77757, 84.97644)"
2018-01-01 12:00:00,0.0,0.0,0.0
2018-01-02 12:00:00,0.0,5.1093664,0.0
2018-01-03 12:00:00,0.0,0.0,0.0
2018-01-04 12:00:00,0.0,0.0,0.0
2018-01-05 12:00:00,0.0,0.0,0.0
2018-01-06 12:00:00,0.0,0.0,0.0
2018-01-07 12:00:00,0.0,0.0,0.0
2018-01-08 12:00:00,0.0,0.0,0.0
2018-01-09 12:00:00,0.0,0.0,0.0
2018-01-10 12:00:00,0.0,0.0,0.0
2018-01-11 12:00:00,0.0,0.0,0.0
2018-01-12 12:00:00,0.0,4.372347,0.0
2018-01-13 12:00:00,0.0,0.0,0.0
2018-01-14 12:00:00,0.0,0.0,0.0
2018-01-15 12:00:00,0.0,0.0,5.1664343
2018-01-16 12:00:00,0.0,0.0,0.0
2018-01-17 12:00:00,0.0,0.0,0.0
2018-01-18 12:00:00,0.0,0.0,0.0
2018-01-19 12:00:00,0.0,0.0,0.0
2018-01-20 12:00:00,0.0,0.0,0.0
2018-01-21 12:00:00,0.0,0.0,0.0
2018-01-22 12:00:00,0.0,0.0,0.0
2018-01-23 12:00:00,0.0,0.0,0.0
2018-01-24 12:00:00,0.0,0.0,0.0
2018-01-25 12:00:00,0.0,0.0,0.0
2018-01-26 12:00:00,0.0,0.0,0.0
2018-01-27 12:00:00,0.0,0.0,0.0
2018-01-28 12:00:00,0.0,0.0,0.0
2018-01-29 12:00:00,0.0,0.0,0.0
2018-01-30 12:00:00,0.0,0.0,0.0
2018-01-31 12:00:00,0.0,0.0,4.608232
2018-02-01 12:00:00,0.0,0.0,0.0
2018-02-02 12:00:00,0.0,0.0,0.0
2018-02-03 12:00:00,0.0,0.0,0.0
2018-02-04 12:00:00,0.0,0.0,0.0
2018-02-05 12:00:00,3.3545885,0.0,2.556909
2018-02-06 12:00:00,5.8152766,0.0,1.8743616
2018-02-07 12:00:00,0.0,0.0,5.623085
2018-02-08 12:00:00,0.0,0.0,0.0
2018-02-09 12:00:00,0.0,0.0,0.0
2018-02-10 12:00:00,0.0,0.0,0.0
2018-02-11 12:00:00,2.208273,0.0,0.0
2018-02-12 12:00:00,11.041364,21.118486,8.302428
2018-02-13 12:00:00,0.0,0.0,0.0
2018-02-14 12:00:00,0.0,0.0,0.0
2018-02-15 12:00:00,0.0,0.0,0.0
2018-02-16 12:00:00,0.0,0.0,0.0
2018-02-17 12:00:00,0.0,0.0,0.0
2018-02-18 12:00:00,0.0,0.0,0.0
2018-02-19 12:00:00,0.0,0.0,0.0
2018-02-20 12:00:00,0.0,0.0,0.0
2018-02-21 12:00:00,0.0,0.0,0.0
2018-02-22 12:00:00,0.0,0.0,0.0
2018-02-23 12:00:00,0.0,0.0,0.0
2018-02-24 12:00:00,0.0,0.0,0.0
